┌────────┬──────────────┬──────────────┬─────────────┬─────────────┐
│ code   │ ufA1         │ sfA1         │ ufA9        │ sfA9        │
│ 0x001b │ 1.15913e-69  │ 1.15913e-69  │ 0.105469    │ 0.105469    │
│ 0x001c │ 2.31825e-69  │ 2.31825e-69  │ 0.109375    │ 0.109375    │
│ 0x001d │ 4.63651e-69  │ 4.63651e-69  │ 0.113281    │ 0.113281    │
│ 0x001e │ 9.27302e-69  │ 9.27302e-69  │ 0.117188    │ 0.117188    │
│ 0x001f │ 1.8546e-68   │ 1.8546e-68   │ 0.121094    │ 0.121094    │
│ 0x0020 │ 3.70921e-68  │ 3.70921e-68  │ 0.125       │ 0.125       │
│ 0x0021 │ 7.41841e-68  │ 7.41841e-68  │ 0.128906    │ 0.128906    │
│ 0x0022 │ 1.48368e-67  │ 1.48368e-67  │ 0.132812    │ 0.132812    │
│ 0x0023 │ 2.96736e-67  │ 2.96736e-67  │ 0.136719    │ 0.136719    │
│ 0x0024 │ 5.93473e-67  │ 5.93473e-67  │ 0.140625    │ 0.140625    │
│ 0x0025 │ 1.18695e-66  │ 1.18695e-66  │ 0.144531    │ 0.144531    │
│ 0x0026 │ 2.37389e-66  │ 2.37389e-66  │ 0.148438    │ 0.148438    │
│ 0x0027 │ 4.74778e-66  │ 4.74778e-66  │ 0.152344    │ 0.152344    │
│ 0x0028 │ 9.49557e-66  │ 9.49557e-66  │ 0.15625     │ 0.15625     │
│ 0x0029 │ 1.89911e-65  │ 1.89911e-65  │ 0.160156    │ 0.160156    │
│ 0x002a │ 3.79823e-65  │ 3.79823e-65  │ 0.164062    │ 0.164062    │
│ 0x002b │ 7.59645e-65  │ 7.59645e-65  │ 0.167969    │ 0.167969    │
│ 0x002c │ 1.51929e-64  │ 1.51929e-64  │ 0.171875    │ 0.171875    │
│ 0x002d │ 3.03858e-64  │ 3.03858e-64  │ 0.175781    │ 0.175781    │
│ 0x002e │ 6.07716e-64  │ 6.07716e-64  │ 0.179688    │ 0.179688    │
│ 0x002f │ 1.21543e-63  │ 1.21543e-63  │ 0.183594    │ 0.183594    │
│ 0x0030 │ 2.43087e-63  │ 2.43087e-63  │ 0.1875      │ 0.1875      │
│ 0x0031 │ 4.86173e-63  │ 4.86173e-63  │ 0.191406    │ 0.191406    │
│ 0x0032 │ 9.72346e-63  │ 9.72346e-63  │ 0.195312    │ 0.195312    │
│ 0x0033 │ 1.94469e-62  │ 1.94469e-62  │ 0.199219    │ 0.199219    │
│ 0x0034 │ 3.88938e-62  │ 3.88938e-62  │ 0.203125    │ 0.203125    │
│ 0x0035 │ 7.77877e-62  │ 7.77877e-62  │ 0.207031    │ 0.207031    │
│ 0x0036 │ 1.55575e-61  │ 1.55575e-61  │ 0.210938    │ 0.210938    │
│ 0x0037 │ 3.11151e-61  │ 3.11151e-61  │ 0.214844    │ 0.214844    │
│ 0x0038 │ 6.22302e-61  │ 6.22302e-61  │ 0.21875     │ 0.21875     │
│ 0x0039 │ 1.2446e-60   │ 1.2446e-60   │ 0.222656    │ 0.222656    │
│ 0x003a │ 2.48921e-60  │ 2.48921e-60  │ 0.226562    │ 0.226562    │
│ 0x003b │ 4.97841e-60  │ 4.97841e-60  │ 0.230469    │ 0.230469    │
│ 0x003c │ 9.95682e-60  │ 9.95682e-60  │ 0.234375    │ 0.234375    │
│ 0x003d │ 1.99136e-59  │ 1.99136e-59  │ 0.238281    │ 0.238281    │
│ 0x003e │ 3.98273e-59  │ 3.98273e-59  │ 0.242188    │ 0.242188    │
│ 0x003f │ 7.96546e-59  │ 7.96546e-59  │ 0.246094    │ 0.246094    │
│ 0x0040 │ 1.59309e-58  │ 1.59309e-58  │ 0.25        │ 0.25        │
│ 0x0041 │ 3.18618e-58  │ 3.18618e-58  │ 0.253906    │ 0.253906    │
│ 0x0042 │ 6.37237e-58  │ 6.37237e-58  │ 0.257812    │ 0.257812    │
│ 0x0043 │ 1.27447e-57  │ 1.27447e-57  │ 0.261719    │ 0.261719    │
│ 0x0044 │ 2.54895e-57  │ 2.54895e-57  │ 0.265625    │ 0.265625    │
│ 0x0045 │ 5.09789e-57  │ 5.09789e-57  │ 0.269531    │ 0.269531    │
│ 0x0046 │ 1.01958e-56  │ 1.01958e-56  │ 0.273438    │ 0.273438    │
│ 0x0047 │ 2.03916e-56  │ 2.03916e-56  │ 0.277344    │ 0.277344    │
│ 0x0048 │ 4.07832e-56  │ 4.07832e-56  │ 0.28125     │ 0.28125     │
│ 0x0049 │ 8.15663e-56  │ 8.15663e-56  │ 0.285156    │ 0.285156    │
│ 0x004a │ 1.63133e-55  │ 1.63133e-55  │ 0.289062    │ 0.289062    │
│ 0x004b │ 3.26265e-55  │ 3.26265e-55  │ 0.292969    │ 0.292969    │
│ 0x004c │ 6.5253e-55   │ 6.5253e-55   │ 0.296875    │ 0.296875    │
│ 0x004d │ 1.30506e-54  │ 1.30506e-54  │ 0.300781    │ 0.300781    │
│ 0x004e │ 2.61012e-54  │ 2.61012e-54  │ 0.304688    │ 0.304688    │
│ 0x004f │ 5.22024e-54  │ 5.22024e-54  │ 0.308594    │ 0.308594    │
│ 0x0050 │ 1.04405e-53  │ 1.04405e-53  │ 0.3125      │ 0.3125      │
│ 0x0051 │ 2.0881e-53   │ 2.0881e-53   │ 0.316406    │ 0.316406    │
│ 0x0052 │ 4.17619e-53  │ 4.17619e-53  │ 0.320312    │ 0.320312    │
│ 0x0053 │ 8.35239e-53  │ 8.35239e-53  │ 0.324219    │ 0.324219    │
│ 0x0054 │ 1.67048e-52  │ 1.67048e-52  │ 0.328125    │ 0.328125    │
│ 0x0055 │ 3.34096e-52  │ 3.34096e-52  │ 0.332031    │ 0.332031    │
│ 0x0056 │ 6.68191e-52  │ 6.68191e-52  │ 0.335938    │ 0.335938    │
│ 0x0057 │ 1.33638e-51  │ 1.33638e-51  │ 0.339844    │ 0.339844    │
│ 0x0058 │ 2.67276e-51  │ 2.67276e-51  │ 0.34375     │ 0.34375     │
│ 0x0059 │ 5.34553e-51  │ 5.34553e-51  │ 0.347656    │ 0.347656    │
│ 0x005a │ 1.06911e-50  │ 1.06911e-50  │ 0.351562    │ 0.351562    │
│ 0x005b │ 2.13821e-50  │ 2.13821e-50  │ 0.355469    │ 0.355469    │
│ 0x005c │ 4.27642e-50  │ 4.27642e-50  │ 0.359375    │ 0.359375    │
│ 0x005d │ 8.55285e-50  │ 8.55285e-50  │ 0.363281    │ 0.363281    │
│ 0x005e │ 1.71057e-49  │ 1.71057e-49  │ 0.367188    │ 0.367188    │
│ 0x005f │ 3.42114e-49  │ 3.42114e-49  │ 0.371094    │ 0.371094    │
│ 0x0060 │ 6.84228e-49  │ 6.84228e-49  │ 0.375       │ 0.375       │
│ 0x0061 │ 1.36846e-48  │ 1.36846e-48  │ 0.378906    │ 0.378906    │
│ 0x0062 │ 2.73691e-48  │ 2.73691e-48  │ 0.382812    │ 0.382812    │
│ 0x0063 │ 5.47382e-48  │ 5.47382e-48  │ 0.386719    │ 0.386719    │
│ 0x0064 │ 1.09476e-47  │ 1.09476e-47  │ 0.390625    │ 0.390625    │
│ 0x0065 │ 2.18953e-47  │ 2.18953e-47  │ 0.394531    │ 0.394531    │
│ 0x0066 │ 4.37906e-47  │ 4.37906e-47  │ 0.398438    │ 0.398438    │
│ 0x0067 │ 8.75812e-47  │ 8.75812e-47  │ 0.402344    │ 0.402344    │
│ 0x0068 │ 1.75162e-46  │ 1.75162e-46  │ 0.40625     │ 0.40625     │
│ 0x0069 │ 3.50325e-46  │ 3.50325e-46  │ 0.410156    │ 0.410156    │
│ 0x006a │ 7.00649e-46  │ 7.00649e-46  │ 0.414062    │ 0.414062    │
│ 0x006b │ 1.4013e-45   │ 1.4013e-45   │ 0.417969    │ 0.417969    │
│ 0x006c │ 2.8026e-45   │ 2.8026e-45   │ 0.421875    │ 0.421875    │
│ 0x006d │ 5.60519e-45  │ 5.60519e-45  │ 0.425781    │ 0.425781    │
│ 0x006e │ 1.12104e-44  │ 1.12104e-44  │ 0.429688    │ 0.429688    │
│ 0x006f │ 2.24208e-44  │ 2.24208e-44  │ 0.433594    │ 0.433594    │
